"","date","city","state","Description","Event.Type_desc","Reg.num","Flight.num","Craft.Opperator","Craft.Make","Craft.Model","Craft.Damage","Flight.Activitiy","Flight.Phase","Injury.Max.Level","Fatal","lon","lat","Injury.Type","Injury.Count"
"21",2016-02-06 22:00:00,"West Memphis","Arkansas","Aircraft On Landing, Gear Collapsed, West Memphis, Ar","Incident","N779CS",NA,NA,"SABRELINER","NA265","Unknown",NA,"Landing (Ldg)","None","No",-90.1845388,35.1464797,"Flight Crew NONE",2
"22",2016-02-04 23:15:00,"Easton","Maryland","Aircraft On Landing, Struck A Sign And Runway Lights, Easton, Md","Incident","N75PW",NA,NA,"MOONEY","M20K","Minor",NA,"Landing (Ldg)","None","No",-76.0763305,38.7742826,"Flight Crew NONE",1
"23",2016-02-06 15:36:00,"Eureka","Kansas","Aircraft Landed Gear Up, Eureka, Ks","Incident","N8381P",NA,NA,"PIPER","PA24","Minor",NA,"Landing (Ldg)","None","No",-96.2891703,37.8239167,"Flight Crew NONE",1
"25",2015-12-31 17:00:00,"San Antonio","Texas","Aircraft On Landing, Ground Looped, Bulverde Airpark,  San Antonio, Tx","Accident","N47185",NA,NA,"AERONCA","O58B","Substantial",NA,"Landing (Ldg)","None","No",-98.4936282,29.4241219,"Flight Crew NONE",1
"29",2016-02-04 23:53:00,"Atwater","California","Aircraft Force Landed On A Dirt Road, Merced County,Near  Atwater, Ca","Incident","N48637",NA,NA,"CESSNA","152","None",NA,"Landing (Ldg)","None","No",-120.609084,37.3477174,"Flight Crew NONE",2
"30",2016-01-30 17:30:00,"Abingdon","Virginia","Aircraft On Taxi, Struck A Perimeter Fence, Abingdon, Va","Incident","N4641K",NA,NA,"CESSNA","172","Minor",NA,"Taxi (Txi)","None","No",-81.9773482,36.7098335,"Flight Crew NONE",1
"31",2016-02-04 21:25:00,"Osage City","Kansas","Aircraft On Landing, Went Off The Side Of The Runway, Osage City, Ks","Incident","N26999",NA,NA,"PIPER","PA28","Minor",NA,"Landing (Ldg)","None","No",-95.8258207,38.6338981,"Flight Crew NONE",1
"32",2016-02-03 16:25:00,"Dallas","Texas","Aircraft Landed Gear Up, Dallas Executive Airport,  Dallas, Tx","Incident","N61429",NA,NA,"NORTH AMERICAN","P51","Unknown",NA,"Landing (Ldg)","None","No",-96.7969879,32.7766642,"Flight Crew NONE",1
"33",2016-02-03 19:48:00,"El Cajon","California","Aircraft While On Taxi, Collided Into A Parked Occupied Aircraft, Gillespie Field, El Cajon, Ca","Incident","N499DR",NA,NA,"CESSNA","172","Unknown","Instruction","Taxi (Txi)","None","No",-116.9625269,32.7947731,"Flight Crew NONE",2
"35",2016-02-02 16:47:00,"Miami","Florida","Aircraft Force Landed In The Ocean 8 Miles From The Opa Locka Airport,  Miami, Fl","Incident","N8466G",NA,NA,"PIPER","PA28",NA,NA,NA,"Minor","No",-80.1917902,25.7616798,"Flight Crew NONE",1
"36",2016-02-01 18:30:00,"Deridder","Louisiana","Aircraft Landed Gear Up, Deridder, La","Incident","N320CC",NA,NA,"CESSNA","320","Unknown",NA,"Landing (Ldg)","None","No",-93.2890527,30.8463055,"Flight Crew NONE",1
"37",2016-02-02 00:50:00,"Crescent City","California","Aircraft Landed Gear Up, Del Norte County Airport, Crescent City, Ca","Incident","N28CA",NA,NA,"PIPER","PA31T","Unknown",NA,"Landing (Ldg)","None","No",-124.2025913,41.7557501,"Flight Crew NONE",1
"38",2016-02-02 22:27:00,"Honolulu","Hawaii","Aircraft Force Landed In The Waterway And Sank, The 1 Person On Board Was Rescued By Uscg,  Honolulu, Hawaii","Incident","N22DG",NA,NA,"CESSNA","337","Unknown",NA,"Landing (Ldg)","None","No",-157.8583333,21.3069444,"Flight Crew NONE",1
"39",2016-02-02 16:00:00,"Suffolk","Virginia","Aircraft Landed Gear Up, Suffolk, Va","Incident","N111SM",NA,NA,"PIPER","PA34","Unknown",NA,"Landing (Ldg)","None","No",-76.5835621,36.7282054,"Flight Crew NONE",1
"40",2016-02-02 22:19:00,"Ogden","Utah","Aircraft On Landing In A Field Flipped Over, Near Ogden, Ut","Accident","N8340Z",NA,NA,"CESSNA","210","Substantial",NA,"Landing (Ldg)","None","No",-111.9738304,41.223,"Flight Crew NONE",1
"42",2016-02-01 23:20:00,"Sturtevant","Wisconsin","Aircraft On Landing, Struck A Vehicle  That Was On The Highway, The Aircraft Gear Broke Off And Force Landed On Grass Runway, Sylvania Airport, Sturtevant, Wi","Accident","N1572J",NA,NA,"PIPER","PA28","Substantial",NA,"Landing (Ldg)","None","No",-87.8945229,42.6980749,"Flight Crew NONE",2
"46",2016-01-31 22:45:00,"Burns","Oregon","Aircraft Force Landed Gear Up On Airport Infield, Burns, Or","Accident","N777PG",NA,NA,"PIPER","PA46","Substantial",NA,"Landing (Ldg)","None","No",-119.0541032,43.5862606,"Flight Crew NONE",1
"47",2016-01-31 18:25:00,"Hartford","Connecticut","Aircraft On Takeoff, Struck The Wingtip, Hartford, Ct","Incident","N250YA",NA,NA,"PIPER","PA38","Minor",NA,"Takeoff (Tof)","None","No",-72.6850932,41.7637111,"Flight Crew NONE",2
"48",2016-01-29 18:03:00,"Logan","West Virginia","N133hn Eurocopter Ec130 Rotorcraft While Inflight, The Door Separated From The Fuselage, Returned And Landed Without Incident, Logan, Wv","Incident","N133HN",NA,NA,"EUROCOPTER","EC130","Unknown",NA,"Unknown (Unk)","None","No",-81.9934581,37.8487147,"Flight Crew NONE",1
